albuterol	regular albuterol,1.0	clostridium difficile albuterol,1.0	albuterol nebulizes,1.0	pain albuterol nebulizes,1.0	albuterol pmh,1.0	foot pain albuterol,1.0	transfusion premedication albuterol,1.0	q2hr albuterol,1.0	tryed albuterol,1.0	water albuterol,1.0	albuterol butt,1.0	aware albuterol,1.0	straight albuterol,1.0	sfor albuterol,1.0	pain albuterol,1.0	albuterol q2h,1.0	post albuterol,1.0	albuterol x2,1.0	10pm albuterol,1.0	5mg albuterol due,1.0	dueoneb albuterol,1.0	albuterol c,1.0	q4h albuterol,1.0	albuterol 5mg,1.0	albuterol multiple,1.0	x3 albuterol,1.0	albuterol c resultant,1.0	1x albuterol,1.0	5mg albuterol,1.0	numerous albuterol,1.0	albuterol 5mg x2,1.0	albuterol due,1.0	tapia albuterol,1.0	10mgs albuterol,1.0	plain water albuterol,1.0	q6h albuterol,1.0	difficile albuterol,1.0	albuterol 5mg ad,1.0	daughter holding albuterol,1.0	albuterol and10mg,1.0	albuterol inhalents,1.0	headache albuterol,1.0	plain albuterol,1.0	albuterol mixed,1.0	albuterol 1atrovent,1.0	albuterol q4hour,1.0	reports albuterol,1.0	albuterol q12h,1.0	sperate albuterol,1.0	albuterol,1.0	
aspirin	hct aspirin “,1.0	simastatin aspirin 81mg,1.0	aspirin chantix,1.0	aspirin thinking,1.0	strength aspirin,1.0	simastatin aspirin,1.0	x2 aspirin,1.0	aspirin causing,1.0	aspirin adminsitration,1.0	aware aspirin,1.0	uncoated aspirin,1.0	aspirin,1.0	aspirin 325mg,1.0	aspirin 324mg,1.0	wheeze aspirin,1.0	valve repair aspirin,1.0	opium tincture aspirin,1.0	hct aspirin,1.0	headache aspirin,1.0	81mg aspirin,1.0	aspirin broccoli,1.0	tincture aspirin,1.0	aspirin 20g,1.0	aspirin nephrox,1.0	aspirin due,1.0	aspirin 81mg,1.0	81mg aspirin ems,1.0	chronic aspirin,1.0	aspirin “,1.0	usual aspirin,1.0	aspirin.,1.0	q8h aspirin,1.0	aspirin ’,1.0	aspirin secondary,1.0	aspirin x1,1.0	temperature aspirin,1.0	repair aspirin,1.0	500mg aspirin,1.0	jason aspirin,1.0	325mg aspirin,1.0	aspirin desensitize,1.0	aspirin enteri,1.0	edema aspirin,1.0	cc aspirin,1.0	aspirin ems,1.0	adult aspirin,1.0	visit aspirin,1.0	increased aspirin,1.0	324mg aspirin,1.0	broccoli aspirin,1.0	
bag valve mask ventilation	mask 6lpm,1.0	mask.,1.0	ventilation demands,1.0	infuser bag,1.0	d5 100ml bag,1.0	mask ventilatin,1.0	venturi mask,1.0	mask 6lpm o2,1.0	bag mask,1.0	valve verus,1.0	whacker bag,1.0	judes valve,1.0	valve prolapseplasty,1.0	50ml bag,1.0	o2 bag,1.0	250ml bag,1.0	prolong ventilation,1.0	100cc bag,1.0	fask mask,1.0	bag valve mask,1.0	facial mask,1.0	trilogy mask,1.0	2nd 2l bag,1.0	ventilation,1.0	mask x2hrs,1.0	“ valve problem,1.0	mask fio2,1.0	ventilation experienced,1.0	noninvasive ventilation,1.0	bag overhead,1.0	leaky valve,1.0	venti mask,1.0	d10 250cc bag,1.0	valve mask,1.0	mask 15lpm,1.0	1l bag,1.0	aeresol mask,1.0	valve dilatory,1.0	recatal bag,1.0	noninvasive mask,1.0	mask symptoms,1.0	hudson mask,1.0	fast mask,1.0	bag valve,1.0	mask,1.0	” “ valve,1.0	valve,1.0	6lpm o2 mask,1.0	250cc bag,1.0	bag x2d,1.0	
bronchodilator	bronchodilator,1.0	tailored,0.7294616905936127	antimicrobial,0.6997225339217072	antiplatelet,0.6768421509260862	copd bronchodilator,0.6529277184050989	nilandron,0.6450257194080482	taxol,0.6420389713745488	bronchodilator nebulizers,0.6315716742870872	change immunosuppressive,0.6274698774029338	immunosuppressive,0.6274698774029338	change immunosuppressive regiments,0.6274698774029338	occupational,0.6193656983325584	campath,0.6084571378876661	salvage,0.6014382356452582	adjuvant,0.5951706958314185	significant bronchodilator,0.5919758533709116	ensued,0.5905480382210843	aggressive bronchodilator,0.5854586360189371	zanaflex,0.5851120415030012	tamoxifen,0.5831018981713899	thymoglobulin,0.580801110765599	bronchodilator response,0.5748327190479567	dyslipidemia copd bronchodilator,0.5711016273230555	conservative,0.5581290728678959	occupational physical,0.5571838858913867	sbe,0.5563894118721648	bronchodilator therapy,0.5504277290637086	bronchodilator therapy chest,0.5504277290637086	valganciclovir,0.5453380490066749	laser,0.5415825523967781	pharmacologic,0.53824958068381	rifampin,0.537941996107298	fludarabine,0.5331955309046325	bronchodilator treatment,0.5315339871314194	dermatologic,0.5297216309312672	dermatologic exam,0.5297216309312672	longterm,0.5287903771498506	longterm care,0.5287903771498506	edentulous,0.5236854820286215	frequent bronchodilator,0.5210393951139486	xeloda,0.518761046979905	hormone,0.514884329682141	hormone level,0.514884329682141	tracheobronchitis,0.5123051708598244	colonization,0.5122024525743536	pharmacological,0.5099363147393429	rmc,0.5098278311366995	flolan,0.5042736185512035	flolan administration,0.5042736185512035	flolan bag,0.5042736185512035	
capnography	capnography 0mmhg,1.0	rectangular capnography,1.0	capnography 35mmhg,1.0	capnography etco2,1.0	1st capnography,1.0	capnography 48mmhg,1.0	capnography 90mmhg,1.0	capnography adopts,1.0	capnography immediately,1.0	capnography findingts,1.0	capnography option,1.0	colormetric capnography,1.0	capnography 28mmhg,1.0	capnography 14mmhg,1.0	capnography 55mmhg,1.0	capnography 23mmhg,1.0	capnography stayed,1.0	capnography 58mmhg,1.0	capnography 20mmhg,1.0	capnography 38mhg,1.0	capnography 56mmhg,1.0	capnography note,1.0	o2 capnography,1.0	capnography 30mmhg,1.0	capnography 22mmg,1.0	capnography 39mmhg,1.0	o2 capnography 28mmhg,1.0	capnography 36mmhg,1.0	capnography 8mmhg,1.0	capnography 32mmh2,1.0	capnography 38mmhg,1.0	capnography 31mmhg,1.0	capnography 26mmhg,1.0	capnography 54mmhg,1.0	capnography 21mmhg,1.0	capnography 50mmhg,1.0	capnography 46mmhg,1.0	capnography 43mmhg,1.0	capnography,1.0	capnography 60mmhg,1.0	capnography 41mmhg,1.0	etco2 capnography,1.0	capnography 17mmhg,1.0	capnography 62mmhg,1.0	capnography 44mmhg,1.0	capnography 45mmhg,1.0	capnography 32mmhg,1.0	capnography 15mmhg,1.0	capnography betwen,1.0	capnography 51mmhg,1.0	
cardiac monitor	monitor condtion,1.0	monday monitor,1.0	cardiac ds,1.0	monitor zantac,1.0	monitor hemodyamics,1.0	monitor roue,1.0	nunnally cardiac,1.0	cardiac conditions,1.0	chest cardiac,1.0	witnessed cardiac,1.0	cardiac monitor fast,1.0	bilaterally cardiac,1.0	monitor pain q2h,1.0	cardiac catherterization,1.0	” “ cardiac,1.0	witness cardiac,1.0	person cardiac,1.0	co2 monitor,1.0	monitor rythem,1.0	denies cardiac complaints,1.0	monitor chest,1.0	umc cardiac,1.0	difficulty swallowing cardiac,1.0	monitor hematoma,1.0	cardiac complaint,1.0	cardiac insufficiency,1.0	cardiac pacemakers,1.0	cardiac surgeries,1.0	cardiac tampanode,1.0	monitor wounds,1.0	pain cardiac,1.0	cardiac monitor clock,1.0	monitor stool,1.0	cardiac monitor inidcating,1.0	cardiac resynchronization,1.0	ohlenbusch cardiac,1.0	cardaic monitor,1.0	peripheral neuropathy cardiac,1.0	monitor 18g,1.0	tolerting cardiac,1.0	disease cardiac,1.0	cardiac carotids,1.0	cardiac prudent,1.0	edema causing cardiac,1.0	monitor ultram,1.0	imparied cardiac,1.0	monitor bleeding,1.0	monitor fk506,1.0	cardiac performance,1.0	cardiac ishemia,1.0	
cpap	cpap relieves,1.0	clear cpap,1.0	cpap q,1.0	facial cpap,1.0	cpap gi,1.0	cpap 5ps 5peep,1.0	cpap nephrolithiasis,1.0	cpap contraindicate,1.0	emergency cpap,1.0	cpap 5ps,1.0	cpap qhs,1.0	cpap 5mm,1.0	3l cpap,1.0	cpap,1.0	cpap 6cmh20,1.0	sounds clear cpap,1.0	cpap 5mmhg,1.0	cpap 5peep 5ips,1.0	cpap 5peep 12ips,1.0	cpap 5peep,1.0	cpap titrations,1.0	cpap »,1.0	cpap history,1.0	2nd cpap,1.0	reinitiate cpap,1.0	cpap deployment,1.0	h2o cpap,1.0	cpap 5mg,1.0	cpap taylor,1.0	trilogy cpap,1.0	cpap taylor bradford,1.0	fio2 cpap,1.0	cpap psv,0.8499214107418998	cpap mask operations,0.839985960877973	cpap mask,0.839985960877973	cpap mask modifications,0.839985960877973	cpap mask skin,0.839985960877973	clear cpap ps,0.8319098594612098	cpap ps,0.8319098594612098	vent cpap,0.8218393995966586	cpap neb,0.8043785162857955	cpap 5mm peep,0.8041227228253028	cpap peep,0.8041227228253028	bedtime bipap,0.7996693284986047	bipap sittings,0.7996693284986047	bipap,0.7996693284986047	bipap sporad,0.7996693284986047	bipap remainder,0.7996693284986047	bipap 10psv,0.7996693284986047	significant bipap,0.7996693284986047	
dexamethasone	10mg dexamethasone,1.0	dexamethasone requesting,1.0	dexamethasone 10mg,1.0	and10mg dexamethasone,1.0	9mg dexamethasone,1.0	dexamethasone m,1.0	dexamethasone 5mg,1.0	8mg dexamethasone,1.0	dexamethasone,1.0	dexamethasone 5mg administered,0.799454866646232	dexamethasone administered icw,0.799454866646232	post decadron,0.7903498729019679	status post decadron,0.7903498729019679	decadron,0.7903498729019679	dexamethazone,0.7744931765086608	dexamethasone 10mg ivp,0.7720339026320828	dexamethasone ivp,0.7720339026320828	and10mg dexamethasone ivp,0.7720339026320828	10mg dexamethasone ivp,0.7720339026320828	albuterol and10mg dexamethasone,0.7553082411996493	diphenhydramine whe,0.7537650462734883	diphenhydramine m,0.7537650462734883	diphenhydramine admit diagnosis,0.7537650462734883	reports 50mg diphenhydramine,0.7537650462734883	10mg diphenhydramine,0.7537650462734883	diphenhydramine admit,0.7537650462734883	diphenhydramine 25mg,0.7537650462734883	diphenhydramine,0.7537650462734883	diphenhydramine 50mg,0.7537650462734883	25mg diphenhydramine,0.7537650462734883	50mg diphenhydramine,0.7537650462734883	10mg iv dexamethasone,0.7512577513603773	iv dexamethasone,0.7512577513603773	10mg dexamethasone iv,0.7512577513603773	dexamethasone iv,0.7512577513603773	dexamethasone 10mg iv,0.7512577513603773	administer dexamethasone,0.7271472694092876	benadryl,0.7232352224276899	fluids dexamethasone,0.7144431280073746	dexamethasone administered ivp,0.7143258461855432	dexamethasone taper,0.7066570173227756	administered dexamethasone iv,0.7004750786710728	dexamethasone administered iv,0.7004750786710728	include glucagon,0.6972259165870125	1mg glucagon,0.6972259165870125	1g glucagon,0.6972259165870125	staff afministered glucagon,0.6972259165870125	1gm glucagon,0.6972259165870125	glucagon 1mg,0.6972259165870125	post glucagon,0.6972259165870125	
dextrose	secondary dextrose,1.0	35gms dextrose,1.0	dextrose 100ml,1.0	15gms dextrose,1.0	50ml dextrose,1.0	200ml dextrose,1.0	dextrose,1.0	250ml dextrose,1.0	100cc dextrose,1.0	25gms dextrose,1.0	25g dextrose,1.0	25gm dextrose,1.0	100ml dextrose,1.0	20g dextrose,1.0	10gms dextrose,1.0	dextrose adminsitered,0.7870365970793012	dextrose stick,0.728946378695697	administer dextrose,0.7221627546841822	g dextrose,0.7109459318723707	dextrose g,0.7109459318723707	received dextrose,0.7009011652649757	dextrose administered,0.6854222199941993	dextrose iv,0.6825571356892627	iv dextrose,0.6825571356892627	hydration,0.6799729673441443	hydration status,0.6799729673441443	secondary dextrose administration,0.676624714395022	administration dextrose,0.676624714395022	dextrose administration,0.676624714395022	moderate fluids,0.6702287993615971	fluids present,0.6702287993615971	fluids,0.6702287993615971	dextrose iv bolus,0.6633156297622086	administered ml dextrose,0.662362138251002	ml dextrose iv,0.660452082047711	dextrose sticks,0.6594166782674645	fluids ml,0.6432353870631022	amps,0.6395656003265087	so4 amps,0.6395656003265087	so4 amps d50,0.6395656003265087	grams dextrose administered,0.6380447326447786	maintaining dextrose,0.637674470853591	100ml infusion,0.6361431404327528	10g infusion,0.6361431404327528	infusion pumps,0.6361431404327528	ringers infusion,0.6361431404327528	infusion trends,0.6361431404327528	transort infusion,0.6361431404327528	10g infusion diagnostics,0.6361431404327528	d10 infusion,0.6361431404327528	
diazepam	diazepam,1.0	rectal diazepam,1.0	diazepam lorazepam,0.8788215136067079	diazepam lorazepam fluoxetine,0.8046478286119023	seroquel,0.775258797080694	cyclobenzaprine,0.7704656019688436	alprazolam,0.7700906449637561	ambien,0.7690434366660688	period ambien,0.7690434366660688	risperidone,0.7687671338632998	tegretol,0.7612306965987325	valium,0.7609332691570138	lorazepam,0.7576430272134157	trazodone,0.7565645926796419	keppra,0.753183039720556	hydrocodone 10mg,0.7531802881827664	hydrocodone due,0.7531802881827664	hydrocodone,0.7531802881827664	klonopin,0.7493566924018643	xanax,0.7459423394715351	trazadone,0.742039516439551	oxycontin,0.7365116962790179	tramadol,0.7333067105934507	cymbalta,0.7284245918939366	diazepam mg,0.7275835824650815	daily diazepam,0.7241820356309954	amitriptyline increase,0.7234452499226378	amitriptyline,0.7234452499226378	diazepam intranasally,0.7166612230641195	olanzapine,0.7153672527506744	flexeril vital signs,0.7145814260517174	flexeril,0.7145814260517174	flexeril vital,0.7145814260517174	depakote,0.7136186869802474	depakote er,0.7136186869802474	apap,0.7131943538006876	gabapentin,0.7129969772437482	lyrica,0.7120151356405573	zyprexa,0.7069925197016707	buspar,0.7062163840651544	metoclopramide,0.7050076131615554	clonidine.,0.7036570280471033	clonidine,0.7036570280471033	citalopram,0.7028347821469803	premarin,0.7011305783764656	miralax,0.6996712297679913	compazine,0.6986935006846282	meclizine,0.6983076922487945	lovastatin,0.6979281963363975	msir,0.6976763109306043	
encourage patient to relax	encourage h2o,1.0	encourage,1.0	encourage respitory,1.0	encourage tcdb,1.0	patient's,1.0	relax,1.0	relax heruntil,1.0	patient,1.0	encourage expe,1.0	relax.,1.0	patient.,1.0	patient',1.0	encourage clears,0.8062909693944404	encourage exercises,0.798578188366351	encourage h2o intake,0.7886341596181883	encourage gentle,0.7801363371047962	encourage oob,0.7490314201809466	encourage ambulation,0.7170442738351611	advance,0.7067088974820016	hr advance,0.7067088974820016	strongly encourage,0.6905563054885714	encourage increase,0.6844143821225419	diuresis encourage,0.6764652030269036	advancing,0.6750746004952984	encourage oral,0.6736487779913338	restrictions,0.6721565088284583	relax heruntil mn,0.6711799796761662	tolerate,0.6663250024300145	24hrs supervision,0.6555565772924112	supervision,0.6555565772924112	lib,0.6532288884093111	encourage hydration,0.6524157055646564	encouragement,0.6462314088937627	gestures,0.6437582820321094	feedings,0.6410465529303664	strict,0.639405848751405	continue,0.6360702136691978	encourage minimal,0.6354524416562584	encourage weight,0.6342277967766929	adjusting,0.6328722473685354	calmed,0.6318297561124818	encourage pulm,0.63178582771658	diurese,0.6270111176075643	encouraged,0.6267928488197959	tol,0.6259926278550157	tol bilevel,0.6259926278550157	salt,0.6241852731421976	tolerate weaning,0.6232330678424974	anymore.,0.6231384661517135	anymore,0.6231384661517135	
